c_date,iso2,iso3,code3,FIPS,Province_State,Country_Region,Population,Death
12/29/20,US,USA,840,1,Alabama,US,4903185,4737
12/30/20,US,USA,840,1,Alabama,US,4903185,4774
12/31/20,US,USA,840,1,Alabama,US,4903185,4827
1/1/21,US,USA,840,1,Alabama,US,4903185,4872
1/2/21,US,USA,840,1,Alabama,US,4903185,4872
1/3/21,US,USA,840,1,Alabama,US,4903185,4873
1/4/21,US,USA,840,1,Alabama,US,4903185,4878
1/5/21,US,USA,840,1,Alabama,US,4903185,4886
1/6/21,US,USA,840,1,Alabama,US,4903185,4994
1/7/21,US,USA,840,1,Alabama,US,4903185,5080
1/8/21,US,USA,840,1,Alabama,US,4903185,5191
1/9/21,US,USA,840,1,Alabama,US,4903185,5299
1/10/21,US,USA,840,1,Alabama,US,4903185,5334
1/11/21,US,USA,840,1,Alabama,US,4903185,5347
1/12/21,US,USA,840,1,Alabama,US,4903185,5573
1/13/21,US,USA,840,1,Alabama,US,4903185,5760
1/14/21,US,USA,840,1,Alabama,US,4903185,5945
1/15/21,US,USA,840,1,Alabama,US,4903185,6030
1/16/21,US,USA,840,1,Alabama,US,4903185,6119
1/17/21,US,USA,840,1,Alabama,US,4903185,6120
1/18/21,US,USA,840,1,Alabama,US,4903185,6121
1/19/21,US,USA,840,1,Alabama,US,4903185,6126
1/20/21,US,USA,840,1,Alabama,US,4903185,6283
1/21/21,US,USA,840,1,Alabama,US,4903185,6379
1/22/21,US,USA,840,1,Alabama,US,4903185,6486
1/23/21,US,USA,840,1,Alabama,US,4903185,6657
1/24/21,US,USA,840,1,Alabama,US,4903185,6660
1/25/21,US,USA,840,1,Alabama,US,4903185,6662
1/26/21,US,USA,840,1,Alabama,US,4903185,6896
1/27/21,US,USA,840,1,Alabama,US,4903185,7172
1/28/21,US,USA,840,1,Alabama,US,4903185,7340
1/29/21,US,USA,840,1,Alabama,US,4903185,7566
1/30/21,US,USA,840,1,Alabama,US,4903185,7566
1/31/21,US,USA,840,1,Alabama,US,4903185,7688
2/1/21,US,USA,840,1,Alabama,US,4903185,7688
2/2/21,US,USA,840,1,Alabama,US,4903185,7894
2/3/21,US,USA,840,1,Alabama,US,4903185,8203
2/4/21,US,USA,840,1,Alabama,US,4903185,8365
2/5/21,US,USA,840,1,Alabama,US,4903185,8449
2/6/21,US,USA,840,1,Alabama,US,4903185,8513
2/7/21,US,USA,840,1,Alabama,US,4903185,8515
2/8/21,US,USA,840,1,Alabama,US,4903185,8523
2/9/21,US,USA,840,1,Alabama,US,4903185,8579
2/10/21,US,USA,840,1,Alabama,US,4903185,8888
2/11/21,US,USA,840,1,Alabama,US,4903185,9021
2/12/21,US,USA,840,1,Alabama,US,4903185,9180
2/13/21,US,USA,840,1,Alabama,US,4903185,9242
2/14/21,US,USA,840,1,Alabama,US,4903185,9242
2/15/21,US,USA,840,1,Alabama,US,4903185,9244
2/16/21,US,USA,840,1,Alabama,US,4903185,9257
2/17/21,US,USA,840,1,Alabama,US,4903185,9346
2/18/21,US,USA,840,1,Alabama,US,4903185,9424
2/19/21,US,USA,840,1,Alabama,US,4903185,9573
2/20/21,US,USA,840,1,Alabama,US,4903185,9590
2/21/21,US,USA,840,1,Alabama,US,4903185,9592
2/22/21,US,USA,840,1,Alabama,US,4903185,9592
2/23/21,US,USA,840,1,Alabama,US,4903185,9660
2/24/21,US,USA,840,1,Alabama,US,4903185,9744
2/25/21,US,USA,840,1,Alabama,US,4903185,9831
2/26/21,US,USA,840,1,Alabama,US,4903185,9869
2/27/21,US,USA,840,1,Alabama,US,4903185,9930
2/28/21,US,USA,840,1,Alabama,US,4903185,9929
3/1/21,US,USA,840,1,Alabama,US,4903185,9931
3/2/21,US,USA,840,1,Alabama,US,4903185,9991
3/3/21,US,USA,840,1,Alabama,US,4903185,10029
3/4/21,US,USA,840,1,Alabama,US,4903185,10094
3/5/21,US,USA,840,1,Alabama,US,4903185,10122
3/6/21,US,USA,840,1,Alabama,US,4903185,10149
3/7/21,US,USA,840,1,Alabama,US,4903185,10148
