c_date,iso2,iso3,code3,FIPS,Province_State,Country_Region,Death
12/27/20,US,USA,840,1,Alabama,US,345628
12/28/20,US,USA,840,1,Alabama,US,347897
12/29/20,US,USA,840,1,Alabama,US,351804
12/30/20,US,USA,840,1,Alabama,US,356820
12/31/20,US,USA,840,1,Alabama,US,361226
1/1/21,US,USA,840,1,Alabama,US,365747
1/2/21,US,USA,840,1,Alabama,US,369458
1/3/21,US,USA,840,1,Alabama,US,371934
1/4/21,US,USA,840,1,Alabama,US,374095
1/5/21,US,USA,840,1,Alabama,US,379593
1/6/21,US,USA,840,1,Alabama,US,384184
1/7/21,US,USA,840,1,Alabama,US,389230
1/8/21,US,USA,840,1,Alabama,US,394287
1/9/21,US,USA,840,1,Alabama,US,399150
1/10/21,US,USA,840,1,Alabama,US,401900
1/11/21,US,USA,840,1,Alabama,US,404000
1/12/21,US,USA,840,1,Alabama,US,407848
1/13/21,US,USA,840,1,Alabama,US,410995
1/14/21,US,USA,840,1,Alabama,US,414583
1/15/21,US,USA,840,1,Alabama,US,417528
1/16/21,US,USA,840,1,Alabama,US,420681
1/17/21,US,USA,840,1,Alabama,US,422598
1/18/21,US,USA,840,1,Alabama,US,424028
1/19/21,US,USA,840,1,Alabama,US,426543
1/20/21,US,USA,840,1,Alabama,US,429655
1/21/21,US,USA,840,1,Alabama,US,432536
1/22/21,US,USA,840,1,Alabama,US,436087
1/23/21,US,USA,840,1,Alabama,US,439442
1/24/21,US,USA,840,1,Alabama,US,441170
1/25/21,US,USA,840,1,Alabama,US,443009
1/26/21,US,USA,840,1,Alabama,US,445909
1/27/21,US,USA,840,1,Alabama,US,449086
1/28/21,US,USA,840,1,Alabama,US,452734
1/29/21,US,USA,840,1,Alabama,US,455582
1/30/21,US,USA,840,1,Alabama,US,455582
1/31/21,US,USA,840,1,Alabama,US,459639
2/1/21,US,USA,840,1,Alabama,US,460860
2/2/21,US,USA,840,1,Alabama,US,462938
2/3/21,US,USA,840,1,Alabama,US,465056
2/4/21,US,USA,840,1,Alabama,US,467823
2/5/21,US,USA,840,1,Alabama,US,469319
2/6/21,US,USA,840,1,Alabama,US,471311
2/7/21,US,USA,840,1,Alabama,US,472423
2/8/21,US,USA,840,1,Alabama,US,473348
2/9/21,US,USA,840,1,Alabama,US,474666
2/10/21,US,USA,840,1,Alabama,US,476067
2/11/21,US,USA,840,1,Alabama,US,477570
2/12/21,US,USA,840,1,Alabama,US,478667
2/13/21,US,USA,840,1,Alabama,US,479856
2/14/21,US,USA,840,1,Alabama,US,480931
2/15/21,US,USA,840,1,Alabama,US,481605
2/16/21,US,USA,840,1,Alabama,US,482488
2/17/21,US,USA,840,1,Alabama,US,483167
2/18/21,US,USA,840,1,Alabama,US,484365
2/19/21,US,USA,840,1,Alabama,US,485212
2/20/21,US,USA,840,1,Alabama,US,485986
2/21/21,US,USA,840,1,Alabama,US,486843
2/22/21,US,USA,840,1,Alabama,US,487520
2/23/21,US,USA,840,1,Alabama,US,488973
2/24/21,US,USA,840,1,Alabama,US,490220
2/25/21,US,USA,840,1,Alabama,US,491110
2/26/21,US,USA,840,1,Alabama,US,491849
2/27/21,US,USA,840,1,Alabama,US,492683
2/28/21,US,USA,840,1,Alabama,US,493252
3/1/21,US,USA,840,1,Alabama,US,493769
3/2/21,US,USA,840,1,Alabama,US,494421
3/3/21,US,USA,840,1,Alabama,US,497154
3/4/21,US,USA,840,1,Alabama,US,498076
3/5/21,US,USA,840,1,Alabama,US,498887
3/6/21,US,USA,840,1,Alabama,US,499411
3/7/21,US,USA,840,1,Alabama,US,499819
3/8/21,US,USA,840,1,Alabama,US,500092
3/9/21,US,USA,840,1,Alabama,US,500616
3/10/21,US,USA,840,1,Alabama,US,501398
3/11/21,US,USA,840,1,Alabama,US,502263
3/12/21,US,USA,840,1,Alabama,US,502711
3/13/21,US,USA,840,1,Alabama,US,503305
3/14/21,US,USA,840,1,Alabama,US,503673
3/15/21,US,USA,840,1,Alabama,US,508229
3/16/21,US,USA,840,1,Alabama,US,508717
3/17/21,US,USA,840,1,Alabama,US,509476
3/18/21,US,USA,840,1,Alabama,US,510048
3/19/21,US,USA,840,1,Alabama,US,510579
3/20/21,US,USA,840,1,Alabama,US,511087
3/21/21,US,USA,840,1,Alabama,US,511460
3/22/21,US,USA,840,1,Alabama,US,511779
3/23/21,US,USA,840,1,Alabama,US,511789
3/24/21,US,USA,840,1,Alabama,US,512711
3/25/21,US,USA,840,1,Alabama,US,513138
3/26/21,US,USA,840,1,Alabama,US,513580
3/27/21,US,USA,840,1,Alabama,US,514072
3/28/21,US,USA,840,1,Alabama,US,514391
3/29/21,US,USA,840,1,Alabama,US,514619
3/30/21,US,USA,840,1,Alabama,US,514980
3/31/21,US,USA,840,1,Alabama,US,515388
4/1/21,US,USA,840,1,Alabama,US,515866
4/2/21,US,USA,840,1,Alabama,US,516266
4/3/21,US,USA,840,1,Alabama,US,516615
4/4/21,US,USA,840,1,Alabama,US,516809
4/5/21,US,USA,840,1,Alabama,US,516918
4/6/21,US,USA,840,1,Alabama,US,517114
4/7/21,US,USA,840,1,Alabama,US,517452
4/8/21,US,USA,840,1,Alabama,US,517916
4/9/21,US,USA,840,1,Alabama,US,518234
4/10/21,US,USA,840,1,Alabama,US,518588
4/11/21,US,USA,840,1,Alabama,US,518899
4/12/21,US,USA,840,1,Alabama,US,519071
4/13/21,US,USA,840,1,Alabama,US,520503
4/14/21,US,USA,840,1,Alabama,US,520780
4/15/21,US,USA,840,1,Alabama,US,521201
4/16/21,US,USA,840,1,Alabama,US,521623
4/17/21,US,USA,840,1,Alabama,US,522131
4/18/21,US,USA,840,1,Alabama,US,522401
4/19/21,US,USA,840,1,Alabama,US,522512
4/20/21,US,USA,840,1,Alabama,US,523955
4/21/21,US,USA,840,1,Alabama,US,524367
4/22/21,US,USA,840,1,Alabama,US,525049
4/23/21,US,USA,840,1,Alabama,US,525477
4/24/21,US,USA,840,1,Alabama,US,525898
4/25/21,US,USA,840,1,Alabama,US,526131
4/26/21,US,USA,840,1,Alabama,US,526348
4/27/21,US,USA,840,1,Alabama,US,526707
4/28/21,US,USA,840,1,Alabama,US,527083
4/29/21,US,USA,840,1,Alabama,US,527513
4/30/21,US,USA,840,1,Alabama,US,527922
5/1/21,US,USA,840,1,Alabama,US,528309
5/2/21,US,USA,840,1,Alabama,US,528597
5/3/21,US,USA,840,1,Alabama,US,528784
5/4/21,US,USA,840,1,Alabama,US,528784
5/5/21,US,USA,840,1,Alabama,US,529446
5/6/21,US,USA,840,1,Alabama,US,530011
5/7/21,US,USA,840,1,Alabama,US,530325
5/8/21,US,USA,840,1,Alabama,US,530744
5/9/21,US,USA,840,1,Alabama,US,530988
5/10/21,US,USA,840,1,Alabama,US,531094
5/11/21,US,USA,840,1,Alabama,US,531404
5/12/21,US,USA,840,1,Alabama,US,531751
5/13/21,US,USA,840,1,Alabama,US,532895
5/14/21,US,USA,840,1,Alabama,US,537813
5/15/21,US,USA,840,1,Alabama,US,539829
5/16/21,US,USA,840,1,Alabama,US,540083
5/17/21,US,USA,840,1,Alabama,US,540267
5/18/21,US,USA,840,1,Alabama,US,540603
5/19/21,US,USA,840,1,Alabama,US,540891
5/20/21,US,USA,840,1,Alabama,US,541230
5/21/21,US,USA,840,1,Alabama,US,541673
5/22/21,US,USA,840,1,Alabama,US,541928
5/23/21,US,USA,840,1,Alabama,US,542124
5/24/21,US,USA,840,1,Alabama,US,542256
5/25/21,US,USA,840,1,Alabama,US,542562
5/26/21,US,USA,840,1,Alabama,US,542831
5/27/21,US,USA,840,1,Alabama,US,543177
5/28/21,US,USA,840,1,Alabama,US,543405
5/29/21,US,USA,840,1,Alabama,US,543405
5/30/21,US,USA,840,1,Alabama,US,543405
5/31/21,US,USA,840,1,Alabama,US,543405
6/1/21,US,USA,840,1,Alabama,US,544045
6/2/21,US,USA,840,1,Alabama,US,544598
6/3/21,US,USA,840,1,Alabama,US,545028
6/4/21,US,USA,840,1,Alabama,US,545585
6/5/21,US,USA,840,1,Alabama,US,545585
6/6/21,US,USA,840,1,Alabama,US,545585
6/7/21,US,USA,840,1,Alabama,US,546324
6/8/21,US,USA,840,1,Alabama,US,546540
6/9/21,US,USA,840,1,Alabama,US,546845
6/10/21,US,USA,840,1,Alabama,US,547135
6/11/21,US,USA,840,1,Alabama,US,547323
6/12/21,US,USA,840,1,Alabama,US,547323
6/13/21,US,USA,840,1,Alabama,US,547323
6/14/21,US,USA,840,1,Alabama,US,547873
6/15/21,US,USA,840,1,Alabama,US,548163
6/16/21,US,USA,840,1,Alabama,US,548323
6/17/21,US,USA,840,1,Alabama,US,548323
6/18/21,US,USA,840,1,Alabama,US,548657
6/19/21,US,USA,840,1,Alabama,US,548657
6/20/21,US,USA,840,1,Alabama,US,548657
6/21/21,US,USA,840,1,Alabama,US,549013
6/22/21,US,USA,840,1,Alabama,US,549013
6/23/21,US,USA,840,1,Alabama,US,549394
6/24/21,US,USA,840,1,Alabama,US,549394
6/25/21,US,USA,840,1,Alabama,US,549934
6/26/21,US,USA,840,1,Alabama,US,549934
6/27/21,US,USA,840,1,Alabama,US,549934
6/28/21,US,USA,840,1,Alabama,US,550451
6/29/21,US,USA,840,1,Alabama,US,550451
6/30/21,US,USA,840,1,Alabama,US,550983
7/1/21,US,USA,840,1,Alabama,US,550983
7/2/21,US,USA,840,1,Alabama,US,551298
7/3/21,US,USA,840,1,Alabama,US,551298
7/4/21,US,USA,840,1,Alabama,US,551298
7/5/21,US,USA,840,1,Alabama,US,551298
7/6/21,US,USA,840,1,Alabama,US,551298
7/7/21,US,USA,840,1,Alabama,US,552911
7/8/21,US,USA,840,1,Alabama,US,552911
7/9/21,US,USA,840,1,Alabama,US,554071
7/10/21,US,USA,840,1,Alabama,US,554605
7/11/21,US,USA,840,1,Alabama,US,554605
7/12/21,US,USA,840,1,Alabama,US,555215
7/13/21,US,USA,840,1,Alabama,US,555215
7/14/21,US,USA,840,1,Alabama,US,556613
7/15/21,US,USA,840,1,Alabama,US,557578
7/16/21,US,USA,840,1,Alabama,US,558577
7/17/21,US,USA,840,1,Alabama,US,559478
7/18/21,US,USA,840,1,Alabama,US,560202
7/19/21,US,USA,840,1,Alabama,US,560920
7/20/21,US,USA,840,1,Alabama,US,562311
7/21/21,US,USA,840,1,Alabama,US,563943
7/22/21,US,USA,840,1,Alabama,US,565510
7/23/21,US,USA,840,1,Alabama,US,567243
7/24/21,US,USA,840,1,Alabama,US,569131
7/25/21,US,USA,840,1,Alabama,US,570667
7/26/21,US,USA,840,1,Alabama,US,572070
7/27/21,US,USA,840,1,Alabama,US,574737
7/28/21,US,USA,840,1,Alabama,US,577463
7/29/21,US,USA,840,1,Alabama,US,577463
7/30/21,US,USA,840,1,Alabama,US,577463
7/31/21,US,USA,840,1,Alabama,US,585607
